Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C9",1206,81,2u2,C920964
"C82, C83, C84, C85, C86",C_Radial_D10.0mm_H20.0mm_P5.00mm,5,100u,C106541
"C87, C88, C89, C90, C91, C92, C93, C94",C_Radial_D12.5mm_H20.0mm_P5.00mm,8,220u,C5213780
