Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C21",0402,3,100n,C1525
"C10, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C4, C5, C6, C7, C8, C9",1206,27,2u2,C920964
"J1, J3, J5",PinHeader_2x02_P1.27mm_Vertical_SMD,3,Conn_02x02_Odd_Even,C27985143
"J2, J4, J6",PinHeader_2x03_P1.27mm_Vertical_SMD,3,Conn_02x03_Odd_Even,C27985144
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Infineon_PG-HSOF-8-1,12,SP010N01BGHTO,C22385350
"R1, R2, R3, R4, R5, R6, R7, R8, R9",R_Shunt_3921,9,1m,C2927603
"U1, U2, U3",SOT-23-6,3,INA181,C52097916
